235023,HEARTLAND HEALTH CARE CENTER-BATTLE CREEK,MI
235032,HEARTLAND HEALTH CARE CENTER-IONIA,MI
235057,HEARTLAND HEALTH CARE CENTER-LIVONIA,MI
235057,HEARTLAND HEALTH CARE CENTER-UNIVERSIT,MI
235057,HEARTLAND HEALTH CARE CENTER-UNIVERSITY,MI
235077,HEARTLAND OF HOLLAND,MI
235087,LAKELAND SPECIALTY HOSPITAL AT BERRIEN,MI
235094,LAKEVIEW LUTHERAN MANOR,MI
235103,HEARTLAND HEALTH CARE CENTER-GRAND RAP,MI
235103,HEARTLAND HEALTH CARE CENTER-GRAND RAPIDS,MI
235109,HEARTLAND HEALTH CARE CENTER - GROSSE POINTE WOODS,MI
235109,HEARTLAND HEALTH CARE CENTER-GEORGIAN EAST,MI
235109,HEARTLAND HEALTH CARE CENTER-GEORGIAN,MI
235114,HEARTLAND HEALTH CARE CENTER-KALAMAZOO,MI
235132,HEARTLAND HEALTH CARE CENTER-FOSTRIAN,MI
235139,HEARTLAND HEALTH CARE CENTER-SAGINAW,MI
235184,HEARTLAND HEALTH CARE CENTER-BRIARWOOD,MI
235206,HEARTLAND HEALTH CARE CENTER-WHITEHALL,MI
235217,HEARTLAND HEALTH CARE CENTER-BLOOMFIELD HILLS,MI
235217,HEARTLAND HEALTH CARE CENTER-GEORGIAN BLOOMFIELD,MI
235217,HEARTLAND HEALTH CARE CENTER-GEORGIAN,MI
235226,GRAND BLANC REHABILITATION & NURSING C,MI
235261,HEARTLAND HEALTH CARE CENTER-GREENVIEW,MI
235266,MANOR OF SOUTHGATE SKILLED NURSING & R,MI
235267,MANORCARE NURSING AND REHABILITATION C,MI
235267,MANORCARE NURSING AND REHABILITATION CENTER,MI
235311,ALAMO NURSING HOME INC,MI
235343,KITH HAVEN,MI
235351,HEARTLAND HEALTH CARE CENTER-PLYMOUTH COURT,MI
235351,HEARTLAND HEALTH CARE CENTER-PLYMOUTH,MI
235365,HEARTLAND HEALTH CARE CENTER - LIVONIA NE,MI
235365,HEARTLAND HEALTH CARE CENTER-DORVIN,MI
235374,WEST OAKS SENIOR CARE & REHAB CENTER,MI
235378,RESTHAVEN CARE CENTER AT FOUNT,MI
235395,HEARTLAND HEALTH CARE CENTER-THREE RIV,MI
235395,HEARTLAND HEALTH CARE CENTER-THREE RIVERS,MI
235407,KALKASKA MEMORIAL HEALTH CENTER,MI
235411,HEARTLAND HEALTH CARE CENTER-HAMPTON,MI
235428,HEARTLAND HEALTH CARE CENTER-DEARBORN HEIGHTS,MI
235428,HEARTLAND HEALTH CARE CENTER-DEARBORN,MI
235439,HEARTLAND HEALTH CARE CENTER-ALLEN PAR,MI
235439,HEARTLAND HEALTH CARE CENTER-ALLEN PARK,MI
235441,HEARTLAND HEALTH CARE CENTER-CRESTVIEW,MI
235453,SANCTUARY AT FRASER VILLA,MI
235483,LAURELS OF GALESBURG (THE),MI
235487,HEARTLAND-WEST BLOOMFIELD,MI
235503,BORTZ HEALTH CARE OF YPSILANTI,MI
235509,SANCTUARY AT THE ABBEY,MI
235525,HERITAGE NURSING AND REHABILITATION CO,MI
235529,THE MANOR OF NOVI,MI
235530,MARYWOOD NURSING CARE CENTER,MI
235580,HEARTLAND HEALTH CARE CENTER-ANN ARBOR,MI
235589,LAKELAND CENTER (THE),MI
235618,HEARTLAND HEALTH CARE CENTER-CANTON,MI
235622,QUALICARE NURSING HOME,MI
235626,HEARTLAND HEALTH CARE CENTER-OAKLAND,MI
245097,FARIBAULT CARE CENTER,MN
245224,AUGUSTANA HEALTH CARE CENTER OF HASTIN,MN
245245,HERITAGE MANOR,MN
245257,ST OTTOS CARE CENTER,MN
245259,LUTHER HAVEN,MN
245320,WOODLYN HEIGHTS HEALTHCARE CENTER,MN
245383,OWATONNA COMMONS NURS & REHAB,MN
245448,PARK RIVER ESTATES CARE CENTER,MN
245528,HARMONY HEALTHCARE,MN
245535,JOURDAIN/PERPICH EXT CARE FAC,MN
255103,HINDS COUNTY NURSING & REHABILITATION,MS
255257,THE WINDSOR PLACE,MS
255309,CEDARS HEALTH CENTER,MS
255316,THE GROVE,MS
265112,MANORCARE HEALTH SERVICES,MO
265188,MANORCARE HEALTH SERVICES,MO
265210,RIVER OAKS CARE CENTER,MO
265275,HEARTLAND OF WILLOW LANE,MO
265339,CEDAR VALLEY HEALTH CENTER,MO
265387,HUNTER ACRES CARING CENTER,MO
265456,GOLDEN LIVINGCENTER-INDEPENDENCE,MO
265503,HEARTLAND CARE AND REHABILITATION CENT,MO
265503,HEARTLAND CARE AND REHABILITATION CENTER,MO
265583,PRESBYTERIAN MANOR OF FARMINGTON,MO
265597,BLUE RIVER REHABILITATION CENTER,MO
265710,OAK GROVE NURSING & REHAB,MO
265721,DEACONESS SPECIALTY CARE CENTER,MO
265749,WOODLAND MANOR,MO
265796,PEARL'S II EDEN FOR ELDERS,MO
265831,ACKERT PARK SKILLED CARE COMMUNITY,MO
275084,GOOD SAMARITAN SOCIETY - MOUNTAIN VIEW,MT
275100,MONTANA VETERANS HOME N H,MT
275121,SIDNEY HEALTH CENTER EXTENDED CARE,MT
285134,LIFE CARE CENTER OF ELKHORN,NE
285192,GOOD SAMARITAN SOCIETY - ST LUKE'S VIL,NE
285208,COMMUNITY PRIDE CARE CENTER,NE
295011,SOUTH LYON MEDICAL CENTER,NV
295036,NORTH LAS VEGAS CARE CENTER,NV
