ccn_str,facility_name_reit_file,state,owner_cluster,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,ltcfocus_source_file
105684,HEARTLAND HEALTH CARE CENTER JACKSONVILLE,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND HEALTH CARE CENTER JACKSONVILLE,FL,120,,112.79,40.83,39.17,0.426,0.787,2.119,3.332,facility_2013.xls
105692,HEARTLAND HEALTH CARE CENTER,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND HEALTH CARE CENTER,FL,120,,,48.54,21.36,0.4868932038834952,0.8106796116504854,2.7684466019417475,4.0660194174757285,facil2009new.xls
105692,HEARTLAND HEALTH CARE CENTER ORANGE PA,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND HEALTH CARE CENTER ORANGE PA,FL,120,,,45.61,27.19,0.618859649122807,0.8043859649122808,3.079824561403509,4.503070175438597,facil2010new.xls
105692,HEARTLAND HEALTH CARE CENTER ORANGE PARK,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND HEALTH CARE CENTER ORANGE PARK,FL,120,,100.37,49.06,17.92,0.69,0.9,2.887,4.477,facility_2011.xls
105692,HEARTLAND HEALTH CARE CENTER ORANGE PARK,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND HEALTH CARE CENTER ORANGE PARK,FL,120,,103.28,54.9,15.69,0.471,0.961,2.711,4.143,facility_2012.xls
105692,HEARTLAND HEALTH CARE CENTER ORANGE PARK,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND HEALTH CARE CENTER ORANGE PARK,FL,120,,103.16,54.0,25.0,0.303,1.082,2.698,4.083,facility_2013.xls
105700,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,120,,,32.43,45.95,0.2725225225225225,1.1635135135135135,2.875675675675676,4.311711711711712,facil2009new.xls
105700,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,120,,,35.9,35.04,0.285042735042735,1.1282051282051282,2.7192307692307693,4.132478632478633,facil2010new.xls
105700,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,120,,107.47,36.21,33.62,0.391,0.936,2.519,3.846,facility_2011.xls
105700,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,120,,107.95,36.21,33.62,0.391,0.936,2.519,3.846,facility_2012.xls
105700,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES CARROLLWOOD,FL,120,,107.3,35.78,25.69,0.649,0.812,2.595,4.056,facility_2013.xls
105709,HEARTLAND HEALTH CARE CENTER MIAMI LAK,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND HEALTH CARE CENTER MIAMI LAK,FL,120,,,28.21,23.93,0.4743589743589744,0.9833333333333332,2.936752136752137,4.394444444444444,facil2009new.xls
105709,HEARTLAND HEALTH CARE CENTER MIAMI LAK,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND HEALTH CARE CENTER MIAMI LAK,FL,120,,,22.22,41.03,0.4944444444444444,0.9653846153846154,2.9743589743589745,4.4341880341880335,facil2010new.xls
105709,HEARTLAND HEALTH CARE CENTER MIAMI LAKES,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND HEALTH CARE CENTER MIAMI LAKES,FL,120,,115.21,20.83,38.33,0.358,1.163,2.48,4.0,facility_2011.xls
105709,HEARTLAND HEALTH CARE CENTER MIAMI LAKES,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND HEALTH CARE CENTER MIAMI LAKES,FL,120,,113.17,23.08,37.61,0.432,1.209,2.516,4.157,facility_2012.xls
105709,HEARTLAND HEALTH CARE CENTER MIAMI LAKES,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND HEALTH CARE CENTER MIAMI LAKES,FL,120,,108.86,23.08,37.61,0.432,1.209,2.516,4.157,facility_2013.xls
105723,HEARTLAND HEALTH CARE CENTER,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND HEALTH CARE CENTER,FL,120,,,39.47,28.95,0.5144736842105262,0.8508771929824561,2.7548245614035087,4.120175438596491,facil2009new.xls
