ccn_str,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_occupancy_pct,ltcfocus_rn_hprd,ltcfocus_directcare_hprd,baseline_medicaid_share,ltcfocus_medicare_share,baseline_support_years,sample_role,valid_pseudocohorts,analysis_state,facility_name_treatment,treat_year,treated_ever
075265,90.0,2.0,93.64824786324786,1.058228606355712,4.5961175963570895,52.81716049382716,24.24132478632479,,control,3.0,CT,"ELIM PARK BAPTIST HOME, INC",,0
075267,66.0,2.0,84.20469373219373,0.5658449023773883,3.154956143065152,80.70427983539095,11.380676638176638,,control,3.0,CT,HARBOR VILLAGE SOUTH HEALTH AND REHABILITATION CEN,,0
075268,144.0,0.5,89.83767094017095,0.3108780350005639,3.0406813551662566,94.79744855967076,3.7111324786324786,,control,3.0,CT,TRINITY HILL CARE CENTER,,0
075271,100.0,0.5,86.26923076923077,0.7577221841509835,4.107335378782686,57.318518518518516,14.513418803418805,,control,3.0,CT,"MYSTIC HEALTHCARE & REHABILITATION CENTER, LLC",,0
075272,25.0,2.0,99.7948717948718,1.0063931623931626,5.300739316239317,95.67078189300412,2.128205128205128,,control,3.0,CT,ST JOSEPH'S RESIDENCE,,0
075274,180.0,1.5,80.51914529914531,0.3367112739467768,3.3391188188973024,78.5787242798354,11.049508547008548,,control,3.0,CT,CIVITA CARE CENTER AT DANBURY,,0
075275,120.87179487179489,2.5,90.2007905982906,0.6613057466801198,4.028510576172626,58.76818930041152,22.924636752136756,,control,3.0,CT,GRIMES CENTER,,0
075278,160.0,3.5,89.07081196581196,0.4047304844272513,3.682016525144242,64.51973251028807,8.787371794871795,,control,3.0,CT,WEST HARTFORD HEALTH & REHABILITATION CENTER,,0
075280,120.0,2.5,81.20070512820513,0.3567275025180309,3.8608456646838856,81.1188683127572,9.494059829059829,,control,3.0,CT,WESTPORT REHABILITATION COMPLEX,,0
075282,129.0,1.5,90.14064102564102,0.44681644537384396,3.6473620288623287,62.37808641975308,19.97899572649573,,control,3.0,CT,WOLCOTT VIEW MANOR,,0
075286,180.0,0.5,86.51628205128205,0.38638882913459793,3.4274824526463963,74.839670781893,12.277991452991454,,control,3.0,CT,CIVITA CARE CENTER AT NEWINGTON,,0
075288,120.0,1.5,93.85696581196581,0.6199882684121849,4.358719496875789,61.77592592592592,10.98758547008547,,control,3.0,CT,FAIRVIEW,,0
075290,59.0,1.5,85.72211538461539,0.9224366810776092,4.398362118202618,10.140987654320988,10.145128205128206,,control,3.0,CT,WHITNEY CENTER,,0
075291,120.0,6.0,89.50505341880343,0.401586483882391,3.4044889681360924,81.35170267489713,8.312029914529914,,control,3.0,CT,ALEXANDRIA MANOR,,0
075292,282.0,4.5,91.6848717948718,0.44691468627655273,3.864100847423633,72.92641975308642,11.625662393162393,,control,3.0,CT,AUTUMN LAKE HEALTHCARE AT NEW BRITAIN,,0
075293,104.0,6.0,91.39264957264957,1.1351030405677827,3.8439333014983497,60.120534979423866,16.770363247863248,,control,3.0,CT,JEFFERSON HOUSE,,0
075294,90.0,2.0,92.39460761460762,0.4156196489558096,3.6213627028712314,73.22452674897119,15.010469437969439,,control,3.0,CT,WHISPERING PINES REHABILITATION AND NURSING CENTER,,0
075299,233.6217948717949,4.5,92.0011111111111,0.22611268169331206,3.121865943567902,94.88736625514404,3.6180128205128206,,control,3.0,CT,CHELSEA PLACE CARE CENTER LLC,,0
075300,96.40941465941467,0.5,90.34079901579902,0.42881691111228654,3.8354916769428757,59.59967078189301,14.76048756798757,,control,3.0,CT,APPLE REHAB SHELTON LAKES,,0
075301,60.0,2.5,88.90394004144004,0.7416610928710459,4.719322841764219,0.0,20.736499611499614,,control,3.0,CT,CALEB HITCHCOCK HEALTH CENTER,,0
075306,60.0,1.5,87.1657905982906,0.4627313848607773,4.355218427369185,41.96139917695473,12.81596153846154,,control,3.0,CT,PILGRIM MANOR,,0
